sample_id,actual,prediction,correct,confidence
0,1,1,1,0.5477913391354674
1,0,0,1,0.6158383978604215
2,0,0,1,0.5990661160606328
3,1,1,1,0.609822804904517
4,0,0,1,0.6424376632942118
5,1,0,0,0.5138607414064884
6,0,0,1,0.6436231340150624
7,1,1,1,0.5325474417511752
8,1,1,1,0.5607154629629534
9,0,0,1,0.5404527086442104
10,0,0,1,0.5848152777056888
11,1,1,1,0.571890621194296
12,1,1,1,0.579790147746651
13,0,0,1,0.6547557049376935
14,1,1,1,0.6289662036636643
15,0,0,1,0.6098500284832093
16,1,1,1,0.5941321139316985
17,1,1,1,0.6041881597247244
18,0,0,1,0.5924551040578356
19,0,0,1,0.6560434568212326
20,1,0,0,0.591153385801496
21,1,1,1,0.6301184158141941
22,1,1,1,0.5158086744852547
23,1,0,0,0.5377247501219642
24,0,1,0,0.509400883420212
25,0,0,1,0.5520191176855642
26,0,0,1,0.5980879109013417
27,1,1,1,0.5868175549739372
28,0,0,1,0.5936840946938069
29,0,1,0,0.5767209477060208
30,0,1,0,0.5496937431412431
31,1,1,1,0.6326613020219289
32,0,0,1,0.6485073517973138
33,1,1,1,0.5582922765634705
34,0,0,1,0.6429754874115536
35,1,1,1,0.5138157362081569
36,1,1,1,0.556609648312656
37,1,1,1,0.637311878141328
38,0,0,1,0.6219594360357237
39,1,1,1,0.533630008062659
40,1,1,1,0.5591419927938798
41,1,1,1,0.558532826761175
42,1,0,0,0.5174712558200765
43,1,0,0,0.5625086759899469
44,0,1,0,0.5257959766195768
45,0,0,1,0.5727503288078934
46,1,1,1,0.5977785760174992
47,0,1,0,0.5625484240990316
48,1,1,1,0.563542883259569
49,0,0,1,0.5650793663528193
50,1,1,1,0.5848323925411758
51,0,0,1,0.6284513459919128
52,1,1,1,0.5546433264934509
53,0,0,1,0.5876533026930569
54,0,0,1,0.6434894782102306
55,1,1,1,0.5217686641669044
56,1,1,1,0.6445462888901383
57,0,0,1,0.5727542068724266
58,0,0,1,0.5937532606543108
59,1,0,0,0.5775329221163007
60,0,0,1,0.5888658185905408
61,1,0,0,0.5855302244028577
62,0,0,1,0.5866931652715601
63,1,1,1,0.6067736961214607
64,1,1,1,0.5472414247018621
65,0,0,1,0.5492727399787574
66,0,0,1,0.6378842871264492
67,1,0,0,0.5714827204663524
68,1,1,1,0.5890233468890069
69,1,0,0,0.5469894176180503
70,0,0,1,0.6477181368028277
71,0,1,0,0.5304494544150892
72,0,0,1,0.6040391425863929
73,0,0,1,0.5839129127986249
74,1,1,1,0.530560538599706
75,1,1,1,0.6253424977284643
76,0,0,1,0.5219549001338217
77,0,1,0,0.516499945629253
78,1,1,1,0.513396368510021
79,0,0,1,0.5599168078087202
80,0,1,0,0.5302463703676231
81,1,1,1,0.5902010222858445
82,1,1,1,0.561442127662457
83,0,0,1,0.6084407750390886
84,0,0,1,0.5866005247725399
85,1,1,1,0.5617819259419129
86,0,1,0,0.5079334125148333
87,0,0,1,0.5803623800542588
88,0,1,0,0.5514724719242539
89,1,1,1,0.5893245984276901
90,1,1,1,0.5960373986715188
91,0,0,1,0.5262453486574283
92,0,0,1,0.5230446309774842
93,1,0,0,0.5718728533746431
94,0,0,1,0.5806948968509044
95,0,0,1,0.6695610807800062
96,0,0,1,0.534240605572704
97,0,0,1,0.6158853030551616
98,0,0,1,0.5917676605941665
99,1,0,0,0.5957052154985196
100,0,0,1,0.5422422773895677
101,1,1,1,0.5100114671707701
102,0,0,1,0.6345921770624215
103,1,1,1,0.5024476738340184
104,1,0,0,0.5820110426029449
105,0,0,1,0.5996626642646214
106,1,1,1,0.6290708299241629
107,1,0,0,0.5281311556729422
108,0,1,0,0.5242742754810663
109,0,0,1,0.5895288254036968
110,0,0,1,0.6199197054674954
111,1,1,1,0.6188553932263638
112,0,1,0,0.5774915595666474
113,1,1,1,0.6297167399030713
114,0,1,0,0.5011890027518856
115,0,0,1,0.5616942799027431
116,0,1,0,0.5277972327804097
117,1,1,1,0.5986589164843007
118,1,1,1,0.6394561010422918
119,0,0,1,0.6132649894715749
120,0,0,1,0.6549066222973119
121,1,0,0,0.5034201044509523
122,1,1,1,0.6313209343983374
123,0,0,1,0.6474230421425287
124,1,1,1,0.6275559558858622
125,0,0,1,0.6337100481547411
126,1,1,1,0.6134134952937528
127,1,0,0,0.5259286890448205
128,1,0,0,0.5292053265779262
129,0,0,1,0.5888960994609607
130,1,1,1,0.5528768195489738
131,0,0,1,0.594442970110248
132,0,0,1,0.6551800830190768
133,1,1,1,0.5461266434688977
134,0,0,1,0.6093862066568616
135,0,0,1,0.5944186692612997
136,1,0,0,0.5555544538935977
137,0,0,1,0.5772802068027485
138,1,0,0,0.5837094109287241
139,0,0,1,0.5274337831417838
140,1,1,1,0.5658670519291983
141,0,0,1,0.5971302966618055
142,1,1,1,0.6093441005173367
143,1,0,0,0.5661844859712405
144,1,1,1,0.6120077912836643
145,0,0,1,0.6432681509050251
146,1,1,1,0.5994508927502346
147,0,0,1,0.5569821368973908
148,0,0,1,0.6160870645630347
149,0,0,1,0.5085060331440289
150,1,1,1,0.5816672128075622
151,1,1,1,0.5574043661859694
152,0,0,1,0.5926483943091394
153,0,0,1,0.5240067199124727
154,0,0,1,0.586815018166897
155,0,0,1,0.6554996322763196
156,0,0,1,0.5995707260841263
157,1,0,0,0.5115651338238533
158,1,1,1,0.5553378348206962
159,0,0,1,0.5231415645892374
160,1,1,1,0.6303040754526731
161,0,0,1,0.6324084912421835
162,0,0,1,0.6179635594447991
163,0,0,1,0.5068926591877916
164,1,1,1,0.6267423000359947
165,1,1,1,0.622609015298299
166,1,1,1,0.5807379711957602
167,1,1,1,0.6173183477023694
168,0,0,1,0.5960994358256928
169,1,0,0,0.6083807069869871
170,1,1,1,0.5221588023534417
171,1,1,1,0.6338602044733876
172,1,1,1,0.5519467858623957
173,0,0,1,0.595152271028491
174,0,1,0,0.5638309927736022
175,0,0,1,0.5974611852226626
176,1,1,1,0.5190542237142894
177,0,0,1,0.6435854393759325
178,0,1,0,0.5754110203038294
179,1,1,1,0.5475822061893595
180,0,0,1,0.5278276548808224
181,1,0,0,0.5627746919774537
182,0,0,1,0.6144307151525543
183,1,1,1,0.5568218234224828
184,1,1,1,0.6075367429491186
185,0,0,1,0.5786269888062459
186,0,0,1,0.6204368321142953
187,0,0,1,0.5989152018963253
188,1,0,0,0.5186715396031122
189,0,0,1,0.6345995873140585
190,0,0,1,0.5190921110672869
191,0,0,1,0.5974683659666433
192,0,1,0,0.5911611533744374
193,0,0,1,0.6033479362304022
194,0,0,1,0.5524831205296193
195,1,1,1,0.5637951318789003
196,0,0,1,0.5345387649086828
197,0,1,0,0.5323957510486285
198,1,1,1,0.5960944628352698
199,1,1,1,0.6000530218635868
200,1,1,1,0.5619600948560454
201,0,0,1,0.5990969462361018
