sample_id,actual,prediction,correct,confidence
0,2,1,0,0.4388858675956726
1,2,2,1,0.8942285776138306
2,0,0,1,0.8025655746459961
3,0,0,1,0.9772015810012817
4,0,3,0,0.6607468724250793
5,0,0,1,0.9516980051994324
6,3,3,1,0.9436492919921875
7,0,0,1,0.7052955031394958
8,3,3,1,0.9908460974693298
9,2,3,0,0.5160390138626099
10,1,1,1,0.7791439890861511
11,0,1,0,0.8593493103981018
12,2,2,1,0.41743484139442444
13,2,2,1,0.993588924407959
14,2,2,1,0.8443461060523987
15,1,1,1,0.5657002329826355
16,3,3,1,0.7066311836242676
17,1,1,1,0.8749936819076538
18,0,0,1,0.43249085545539856
19,2,2,1,0.4663766026496887
20,1,1,1,0.7720152139663696
21,3,3,1,0.9783853888511658
22,3,3,1,0.8532131314277649
23,1,2,0,0.5776374936103821
24,3,3,1,0.5546492338180542
25,1,0,0,0.8792675137519836
26,0,0,1,0.8013564944267273
27,3,1,0,0.72022944688797
28,1,1,1,0.9488129615783691
29,1,1,1,0.9050998091697693
30,2,0,0,0.47042909264564514
31,2,2,1,0.7989807724952698
32,2,2,1,0.5934523940086365
33,0,0,1,0.4095764458179474
34,0,0,1,0.9459765553474426
35,0,0,1,0.6800081133842468
36,1,1,1,0.925822377204895
37,1,0,0,0.7581597566604614
38,0,0,1,0.8489745259284973
39,0,0,1,0.9982622265815735
40,1,1,1,0.7044256925582886
41,1,1,1,0.6472668647766113
42,2,2,1,0.7095611095428467
43,1,1,1,0.9885729551315308
44,3,3,1,0.9522533416748047
45,1,1,1,0.9575031995773315
46,2,0,0,0.5354201793670654
47,1,1,1,0.631305456161499
48,2,2,1,0.5417940616607666
49,0,0,1,0.6820548176765442
50,2,0,0,0.4596739709377289
51,3,3,1,0.8119142055511475
52,1,1,1,0.9721148014068604
53,3,3,1,0.7234560251235962
54,3,1,0,0.6737801432609558
55,3,1,0,0.458856999874115
56,3,0,0,0.5020308494567871
57,1,1,1,0.39636972546577454
58,1,1,1,0.9315210580825806
59,1,1,1,0.9204466342926025
60,0,1,0,0.69173663854599
61,3,2,0,0.3456697165966034
62,2,0,0,0.653144359588623
63,3,3,1,0.9102016091346741
64,2,1,0,0.5953726172447205
65,0,0,1,0.9666596055030823
66,0,0,1,0.9249212145805359
67,0,0,1,0.6978909373283386
68,1,1,1,0.6817178726196289
69,2,0,0,0.5356759428977966
70,0,3,0,0.5499969720840454
71,3,3,1,0.9780949950218201
72,3,3,1,0.8693358898162842
73,1,1,1,0.9410561323165894
74,2,2,1,0.6511825919151306
75,2,2,1,0.9259522557258606
76,1,1,1,0.6045599579811096
77,0,0,1,0.8046422600746155
78,0,0,1,0.979469895362854
79,3,3,1,0.9293038845062256
80,1,0,0,0.9451985955238342
81,2,0,0,0.53471440076828
82,3,3,1,0.8538731932640076
83,1,1,1,0.8198218941688538
84,2,2,1,0.8409122824668884
85,2,2,1,0.678537130355835
86,1,1,1,0.9009454250335693
87,1,2,0,0.6237948536872864
88,1,1,1,0.6418156623840332
89,3,3,1,0.7404890060424805
90,0,0,1,0.5215306282043457
91,1,1,1,0.9245367646217346
92,2,2,1,0.8961674571037292
93,3,1,0,0.614802896976471
94,1,1,1,0.9921069145202637
95,3,0,0,0.9240404963493347
96,0,2,0,0.7012320756912231
97,0,1,0,0.5041354298591614
98,2,1,0,0.5884733200073242
99,0,0,1,0.6103402376174927
100,3,3,1,0.6521560549736023
101,1,1,1,0.8535681366920471
102,2,0,0,0.6205428242683411
103,0,1,0,0.5940735340118408
104,0,1,0,0.5250011682510376
105,3,3,1,0.7756035923957825
106,2,2,1,0.6798089146614075
107,0,0,1,0.9936091899871826
108,2,1,0,0.5552011728286743
109,3,3,1,0.9317763447761536
110,1,1,1,0.9643740653991699
111,3,3,1,0.943558394908905
112,1,1,1,0.9729074239730835
113,2,2,1,0.9365227222442627
114,2,2,1,0.9466792345046997
115,0,0,1,0.9365432858467102
116,1,1,1,0.9123929142951965
117,3,3,1,0.4826967418193817
118,2,2,1,0.49105119705200195
119,0,0,1,0.7030268907546997
120,3,1,0,0.38882359862327576
121,2,2,1,0.8725485801696777
122,1,1,1,0.7750352621078491
123,2,2,1,0.8621222972869873
124,1,1,1,0.401077538728714
125,0,0,1,0.9300497770309448
126,2,2,1,0.7757248878479004
127,3,3,1,0.574194073677063
128,3,3,1,0.8601787686347961
129,3,3,1,0.9809994697570801
130,3,3,1,0.9791947603225708
131,2,2,1,0.8028269410133362
132,1,1,1,0.5198869705200195
133,3,3,1,0.5991530418395996
134,2,2,1,0.9885510802268982
135,1,1,1,0.9975582361221313
136,3,3,1,0.813718855381012
137,0,2,0,0.6301738023757935
138,0,0,1,0.9921189546585083
139,0,0,1,0.833198070526123
140,0,0,1,0.9961692690849304
141,0,3,0,0.5163077712059021
142,2,0,0,0.3717208206653595
143,2,2,1,0.9753686189651489
144,1,1,1,0.9660821557044983
145,1,2,0,0.6086773872375488
146,0,0,1,0.9370899200439453
147,1,1,1,0.692461371421814
148,1,1,1,0.9526998400688171
149,1,1,1,0.804132342338562
150,1,2,0,0.573961079120636
151,2,2,1,0.7982516884803772
152,0,0,1,0.89174884557724
153,3,3,1,0.9904388785362244
154,3,3,1,0.8253690600395203
155,1,2,0,0.5451213121414185
156,1,1,1,0.665282666683197
157,3,3,1,0.9266109466552734
158,0,0,1,0.9245878458023071
159,1,1,1,0.9194698929786682
160,3,3,1,0.8660882711410522
161,1,1,1,0.9954402446746826
162,3,3,1,0.5413231253623962
163,0,0,1,0.6802458763122559
164,3,3,1,0.8624138236045837
165,2,2,1,0.8186583518981934
166,2,2,1,0.8121574521064758
167,3,3,1,0.3845982551574707
168,0,0,1,0.8923829197883606
169,1,1,1,0.5741811990737915
170,2,2,1,0.7281691431999207
171,2,2,1,0.6427701711654663
172,0,0,1,0.7112022638320923
173,1,2,0,0.44822314381599426
174,1,1,1,0.5718472599983215
175,2,2,1,0.7376875877380371
176,0,0,1,0.7762264609336853
177,3,3,1,0.7102617025375366
178,0,0,1,0.9718224406242371
179,0,0,1,0.9973450303077698
180,1,1,1,0.9823858141899109
181,1,1,1,0.8260354399681091
182,0,0,1,0.9239263534545898
183,0,1,0,0.8253769278526306
184,0,0,1,0.5125067234039307
185,2,2,1,0.9830912947654724
186,0,1,0,0.5571526885032654
187,2,2,1,0.5762729048728943
188,0,0,1,0.902941107749939
189,0,0,1,0.9499238133430481
190,3,3,1,0.998181939125061
191,1,2,0,0.5102845430374146
192,1,1,1,0.780105710029602
193,2,2,1,0.9069091081619263
194,3,3,1,0.5768553614616394
195,1,1,1,0.898893415927887
196,3,3,1,0.4914860427379608
197,1,1,1,0.9567307829856873
198,2,2,1,0.6136481761932373
199,3,3,1,0.5576191544532776
200,1,1,1,0.9827202558517456
201,2,2,1,0.8470411896705627
202,3,3,1,0.47454383969306946
203,1,1,1,0.8154962062835693
204,0,0,1,0.9121190905570984
205,3,3,1,0.6963838338851929
206,0,0,1,0.9358118176460266
207,0,1,0,0.8793433904647827
208,1,1,1,0.9716241955757141
209,0,0,1,0.7256218791007996
210,1,1,1,0.9207355380058289
211,3,3,1,0.9231826663017273
212,2,2,1,0.9538205862045288
213,1,2,0,0.6153453588485718
214,1,1,1,0.8721228837966919
215,0,0,1,0.833246111869812
216,2,2,1,0.6057388186454773
217,1,0,0,0.7435327768325806
218,1,1,1,0.9829429388046265
219,2,0,0,0.632510244846344
220,3,3,1,0.5346519947052002
221,2,2,1,0.9680494070053101
222,0,0,1,0.6153134703636169
223,3,3,1,0.9787757396697998
224,0,1,0,0.636195719242096
225,0,0,1,0.7258692979812622
226,0,0,1,0.7986245155334473
227,1,1,1,0.9167107343673706
228,1,1,1,0.9868200421333313
229,1,1,1,0.8931642174720764
230,3,3,1,0.9117177128791809
231,0,1,0,0.7336068153381348
232,1,1,1,0.9309137463569641
233,0,0,1,0.9907240271568298
234,2,2,1,0.865572988986969
235,3,2,0,0.5182940363883972
236,3,3,1,0.9855880737304688
237,3,3,1,0.7348372340202332
238,2,2,1,0.7819247245788574
239,0,3,0,0.775209367275238
240,1,1,1,0.6228293776512146
241,2,2,1,0.9613751769065857
242,2,3,0,0.7703704833984375
243,3,3,1,0.8577777743339539
244,2,2,1,0.7824193239212036
245,2,3,0,0.6972183585166931
246,1,1,1,0.9751210808753967
247,1,1,1,0.9808158278465271
248,1,1,1,0.8991506695747375
249,0,0,1,0.7474539875984192
250,2,2,1,0.9299811124801636
251,2,3,0,0.665084719657898
252,2,1,0,0.586997926235199
253,1,1,1,0.9500513076782227
254,1,1,1,0.9401371479034424
255,2,2,1,0.8442285060882568
256,2,1,0,0.6326733231544495
257,2,2,1,0.7204279899597168
258,1,1,1,0.9822047352790833
259,1,1,1,0.8868529200553894
260,3,3,1,0.8696926236152649
261,2,2,1,0.8703775405883789
262,0,0,1,0.781642735004425
263,0,0,1,0.5278149247169495
