sample_id,actual,prediction,correct,confidence
0,0,0,1,0.5089727916675286
1,0,0,1,0.5152441315649716
2,0,1,0,0.5017095216858729
3,1,0,0,0.5012010133944607
4,1,1,1,0.5047039100393311
5,0,0,1,0.5104332474363636
6,0,0,1,0.5057105322563393
7,0,0,1,0.5023690500597557
8,1,1,1,0.5073161015308936
9,1,1,1,0.5026027360631494
10,0,0,1,0.504965867366326
11,1,0,0,0.506279383096983
12,1,0,0,0.503398101747255
13,1,0,0,0.5015843468707042
14,0,1,0,0.5074209546360053
15,1,1,1,0.5057727176140995
16,0,0,1,0.5106682382927724
17,1,0,0,0.5159483645267522
18,0,0,1,0.5182505406232977
19,1,1,1,0.5004392875191971
20,1,0,0,0.5066838365707309
21,1,0,0,0.5112456959746947
22,1,1,1,0.505671239907974
23,0,0,1,0.5012860312616845
24,0,1,0,0.5065739843032292
25,1,0,0,0.5075919068328568
26,0,0,1,0.5170550856562544
27,1,1,1,0.5028484167663044
28,1,0,0,0.5032630920607595
29,0,1,0,0.503881752501941
30,0,0,1,0.5016714937562956
31,0,0,1,0.503355767500064
32,0,0,1,0.5204104054098915
33,0,1,0,0.5028240711138448
34,0,0,1,0.5063809544700857
35,0,0,1,0.5102402257670221
36,1,0,0,0.508380893868661
37,0,0,1,0.5013085996035569
38,0,0,1,0.5087424179397395
39,0,0,1,0.5151115852879018
40,1,1,1,0.5074694073238689
41,0,0,1,0.5075173850558231
42,1,1,1,0.5086740041712082
43,0,0,1,0.5035008626396705
44,0,1,0,0.5028524627424839
45,0,0,1,0.5198719335043536
46,1,1,1,0.510389452067693
47,1,1,1,0.5036213183800892
48,1,0,0,0.5045771720764314
49,0,1,0,0.5017555106761266
50,0,0,1,0.5141133308286121
51,0,0,1,0.5102834310010028
52,1,1,1,0.5070941689784182
53,0,0,1,0.511256220138876
54,1,1,1,0.5095661757010337
55,0,0,1,0.5085056992798371
56,1,1,1,0.512945610890758
57,0,0,1,0.5115511418353185
58,1,1,1,0.5068414146471387
59,1,0,0,0.5114291968236654
60,1,1,1,0.5068764241951697
61,0,0,1,0.5056368368426232
62,0,0,1,0.5109725484027832
63,1,1,1,0.5087011736983634
64,0,0,1,0.5097052317764144
65,1,1,1,0.513779757174717
66,1,1,1,0.50950862708143
67,0,1,0,0.5047662722379489
68,0,0,1,0.5026394302174573
69,0,0,1,0.5124476811977845
70,0,0,1,0.5012898335492969
71,0,0,1,0.5183341590339227
72,1,0,0,0.5086932903899798
73,0,0,1,0.5190095942601265
74,1,1,1,0.5033469225806053
75,1,0,0,0.5136554933032402
76,1,0,0,0.5084187658741461
77,0,0,1,0.510213042636544
78,1,1,1,0.501154646360133
