sample_id,actual,prediction,correct,confidence
0,0,0,1,0.999971866607666
1,0,0,1,0.9998415112495422
2,0,0,1,0.9696528911590576
3,0,0,1,0.965527355670929
4,0,0,1,0.9986934661865234
5,1,1,1,0.9623607397079468
6,0,0,1,0.9994128346443176
7,1,1,1,0.9998373985290527
8,0,0,1,0.9413482546806335
9,0,0,1,0.9890497326850891
10,0,0,1,0.9999992847442627
11,1,1,1,0.9978804588317871
12,0,0,1,0.9999029636383057
13,1,1,1,0.9843957424163818
14,0,0,1,0.9296503067016602
15,0,0,1,0.9995213747024536
16,0,0,1,0.9277529120445251
17,1,1,1,0.9999861717224121
18,1,1,1,0.999079704284668
19,0,0,1,0.9953486323356628
20,1,1,1,0.9999998807907104
21,1,1,1,0.9744070768356323
22,1,1,1,0.9999998807907104
23,1,1,1,0.9977988600730896
24,1,1,1,0.9998750686645508
25,1,0,0,0.559482216835022
26,1,1,1,0.8822736144065857
27,1,1,1,0.9999819993972778
28,1,1,1,0.9957919120788574
29,0,0,1,0.8746671676635742
30,1,1,1,0.9928258657455444
31,1,0,0,0.7607178688049316
32,0,0,1,0.999875009059906
33,1,1,1,0.9940965175628662
34,1,1,1,0.9999439716339111
35,1,1,1,0.9156626462936401
36,0,0,1,0.9913066029548645
37,1,1,1,0.9992479681968689
38,1,1,1,0.9968273043632507
39,0,0,1,0.9880040287971497
40,0,0,1,0.9995233416557312
41,0,0,1,0.6441422700881958
42,0,0,1,0.999721884727478
43,1,1,1,0.9960047602653503
44,1,1,1,0.9999991655349731
45,0,0,1,0.750953197479248
46,0,1,0,0.5913285613059998
47,0,0,1,0.9977664351463318
48,1,1,1,0.9998238682746887
49,0,0,1,0.9999915957450867
50,0,0,1,0.9999549984931946
51,0,0,1,0.9979983568191528
52,1,1,1,0.9802498817443848
53,0,0,1,0.9997851252555847
54,1,1,1,0.8028181791305542
55,0,0,1,0.9999954104423523
56,0,0,1,0.9999171495437622
57,1,1,1,0.9952541589736938
58,1,1,1,0.9977706670761108
59,0,0,1,0.9997978806495667
60,1,1,1,0.8636624217033386
61,1,1,1,0.9987607002258301
62,0,0,1,0.9997621774673462
63,1,1,1,0.5502172112464905
64,1,1,1,0.946477472782135
65,1,1,1,0.9999938011169434
66,0,0,1,0.9727113246917725
67,1,1,1,0.5127468109130859
68,0,0,1,0.9832528233528137
69,1,1,1,0.9999070167541504
