sample_id,actual,prediction,correct,confidence
0,1,1,1,0.9590105414390564
1,1,1,1,0.9900925755500793
2,0,0,1,0.8937041759490967
3,0,0,1,0.9941555261611938
4,0,1,0,0.7558023929595947
5,1,1,1,0.9980993866920471
6,1,1,1,0.7255357503890991
7,0,0,1,0.9971383213996887
8,1,1,1,0.9992892742156982
9,1,1,1,0.975413978099823
10,1,0,0,0.6529440879821777
11,1,1,1,0.908072829246521
12,1,1,1,0.9735066890716553
13,0,1,0,0.6098648309707642
14,1,1,1,0.9266254901885986
15,1,1,1,0.9973106384277344
16,1,1,1,0.9727108478546143
17,1,1,1,0.980867326259613
18,0,0,1,0.999380886554718
19,0,0,1,0.9034361243247986
20,0,0,1,0.9889782667160034
21,1,1,1,0.9976528286933899
22,0,0,1,0.7167017459869385
23,0,0,1,0.9950425624847412
24,0,0,1,0.7373021245002747
25,1,1,1,0.991811990737915
26,0,0,1,0.7390245199203491
27,0,0,1,0.9334414601325989
28,0,0,1,0.5124890208244324
29,0,0,1,0.7726130485534668
30,0,0,1,0.8941366672515869
31,1,1,1,0.8409203886985779
32,1,1,1,0.9645398855209351
33,0,0,1,0.9805066585540771
34,1,1,1,0.9091527462005615
35,0,1,0,0.5609074831008911
36,0,0,1,0.6895704865455627
37,1,1,1,0.8949063420295715
38,0,0,1,0.9853140115737915
39,0,0,1,0.9738255143165588
40,0,1,0,0.5363872051239014
41,1,1,1,0.9771568179130554
42,1,0,0,0.5077459216117859
43,1,1,1,0.9646984934806824
44,1,1,1,0.9743692278862
45,1,1,1,0.580492377281189
46,0,0,1,0.9727057814598083
47,0,0,1,0.8347504138946533
48,0,1,0,0.6746039390563965
49,1,1,1,0.9483669400215149
50,1,1,1,0.8832170963287354
51,0,0,1,0.6401117444038391
52,0,0,1,0.987285315990448
53,0,1,0,0.9400416016578674
54,0,0,1,0.7005378007888794
55,0,0,1,0.5503685474395752
56,0,0,1,0.7925571203231812
57,0,0,1,0.6422939896583557
58,0,1,0,0.6282926797866821
59,0,0,1,0.9965675473213196
60,0,0,1,0.9569379687309265
61,0,0,1,0.8772835731506348
62,1,1,1,0.8187949061393738
63,0,0,1,0.9055171608924866
64,0,0,1,0.8221603631973267
65,1,0,0,0.5450732707977295
66,1,1,1,0.9928323030471802
67,1,1,1,0.8563644886016846
68,0,0,1,0.9651091694831848
69,0,0,1,0.9015759229660034
70,0,0,1,0.9784409999847412
71,0,0,1,0.78948575258255
72,0,0,1,0.9911376237869263
73,0,0,1,0.9966310262680054
74,1,1,1,0.9932067394256592
75,0,0,1,0.9979376792907715
76,0,0,1,0.7421278953552246
77,1,1,1,0.9995742440223694
78,0,0,1,0.99395751953125
79,1,1,1,0.9951311349868774
80,1,1,1,0.96250319480896
81,1,1,1,0.5790214538574219
82,1,0,0,0.8329769372940063
83,0,0,1,0.5906710624694824
84,1,1,1,0.9695611596107483
85,0,0,1,0.9998501539230347
86,1,1,1,0.6753459572792053
87,0,1,0,0.6339106559753418
88,0,0,1,0.9806631207466125
89,1,1,1,0.8859896063804626
90,1,1,1,0.965175986289978
91,1,1,1,0.999137282371521
92,0,0,1,0.9627809524536133
93,0,1,0,0.8534301519393921
94,0,0,1,0.7807525396347046
95,0,0,1,0.8419352769851685
96,1,1,1,0.9940202236175537
97,1,1,1,0.884727954864502
98,0,0,1,0.9795079231262207
99,0,0,1,0.8742085695266724
100,0,0,1,0.6902284026145935
101,1,1,1,0.9998326301574707
102,0,1,0,0.6663580536842346
103,1,1,1,0.9666378498077393
104,1,0,0,0.6532690525054932
105,0,0,1,0.6013330221176147
106,0,0,1,0.975867748260498
107,1,1,1,0.9964882135391235
108,0,0,1,0.9985190629959106
109,0,0,1,0.9973707795143127
110,0,0,1,0.8207105398178101
111,1,1,1,0.9954622387886047
112,0,0,1,0.957639753818512
113,1,1,1,0.8544783592224121
114,1,1,1,0.9692710041999817
115,1,1,1,0.7852290272712708
116,0,0,1,0.9973137974739075
117,0,0,1,0.9675924777984619
118,0,0,1,0.9960469007492065
119,0,0,1,0.984499454498291
120,1,1,1,0.9902999401092529
121,0,0,1,0.505129873752594
122,0,0,1,0.8333932161331177
123,0,0,1,0.8128705024719238
124,1,0,0,0.558902382850647
125,1,1,1,0.913112461566925
126,0,0,1,0.8933974504470825
127,0,0,1,0.9594253897666931
128,0,0,1,0.8971078991889954
129,1,1,1,0.9969224333763123
130,1,1,1,0.7961781024932861
131,0,0,1,0.9251223206520081
132,0,0,1,0.840837836265564
133,0,0,1,0.8540601134300232
134,1,0,0,0.7300500869750977
135,1,1,1,0.9718664884567261
136,0,0,1,0.899055540561676
137,0,1,0,0.5558319687843323
138,0,0,1,0.671675443649292
139,1,1,1,0.9716438055038452
140,1,1,1,0.9407516121864319
141,1,1,1,0.9713757038116455
142,1,0,0,0.5898093581199646
143,0,0,1,0.7338205575942993
144,0,0,1,0.9796101450920105
145,0,0,1,0.9610350131988525
146,1,1,1,0.5990192294120789
147,1,0,0,0.5876725912094116
148,0,1,0,0.5904639363288879
149,1,1,1,0.9999281167984009
150,0,0,1,0.9916683435440063
151,1,0,0,0.7268154621124268
152,0,1,0,0.5962571501731873
153,0,0,1,0.9774379134178162
154,0,0,1,0.992319643497467
155,1,1,1,0.5142756700515747
156,1,1,1,0.7867112755775452
157,1,1,1,0.9734694361686707
158,1,1,1,0.9878727197647095
159,1,1,1,0.9081841111183167
160,0,0,1,0.7272493839263916
161,0,0,1,0.998045027256012
162,0,0,1,0.8396276235580444
163,0,0,1,0.7945225238800049
164,1,1,1,0.9533674716949463
165,0,0,1,0.957772970199585
166,1,1,1,0.991486668586731
167,0,0,1,0.9920320510864258
168,1,0,0,0.59609055519104
169,0,0,1,0.7586703896522522
170,1,0,0,0.5804994106292725
171,0,0,1,0.7129809260368347
172,0,0,1,0.9683066606521606
173,1,1,1,0.9554257988929749
174,1,1,1,0.9820382595062256
175,0,0,1,0.8797276020050049
176,0,0,1,0.8240612745285034
177,0,0,1,0.9537065625190735
178,1,1,1,0.9403921365737915
179,1,1,1,0.9033911824226379
180,1,1,1,0.9370368719100952
181,1,1,1,0.9599561095237732
182,0,0,1,0.9705222845077515
183,0,0,1,0.9801616072654724
184,0,0,1,0.8636758327484131
185,1,1,1,0.9968991279602051
186,0,0,1,0.7886532545089722
187,1,1,1,0.9997082352638245
188,0,0,1,0.6704918146133423
189,0,0,1,0.8916301727294922
190,0,0,1,0.8925191760063171
191,0,0,1,0.9151438474655151
192,1,0,0,0.732750654220581
193,1,0,0,0.5295822620391846
194,0,0,1,0.8009768724441528
195,0,0,1,0.9863128662109375
196,0,0,1,0.643730640411377
197,0,0,1,0.9869503974914551
198,1,1,1,0.8485406041145325
199,1,1,1,0.9480525851249695
200,0,1,0,0.5348244309425354
201,0,1,0,0.6715302467346191
202,0,0,1,0.9135751724243164
203,1,1,1,0.9990492463111877
204,0,0,1,0.9807277917861938
205,1,1,1,0.996861457824707
206,0,0,1,0.5164868831634521
207,1,1,1,0.7519426941871643
208,1,1,1,0.6539700031280518
209,0,0,1,0.9971616268157959
210,1,1,1,0.9172353744506836
211,1,1,1,0.9800801873207092
212,1,0,0,0.7994744777679443
213,0,0,1,0.8727408647537231
214,1,1,1,0.7419469952583313
215,0,0,1,0.7435472011566162
216,1,1,1,0.9571071863174438
217,0,0,1,0.9963239431381226
218,1,1,1,0.8805786371231079
219,0,1,0,0.5038139224052429
220,0,0,1,0.9993134140968323
221,0,0,1,0.9984766840934753
222,0,0,1,0.964832603931427
223,1,1,1,0.5957773327827454
224,1,1,1,0.994948148727417
225,1,0,0,0.5398866534233093
226,0,0,1,0.9314138293266296
227,0,0,1,0.9618784785270691
228,0,0,1,0.9850133657455444
229,1,1,1,0.7993035316467285
230,0,0,1,0.5363279581069946
231,1,1,1,0.5796236395835876
232,0,0,1,0.7645338773727417
233,0,0,1,0.6966936588287354
234,1,1,1,0.9701793193817139
235,0,0,1,0.8717414140701294
236,1,1,1,0.8108411431312561
237,1,0,0,0.6588075160980225
238,0,0,1,0.9844762086868286
239,0,0,1,0.5066452026367188
240,1,1,1,0.898386538028717
241,0,1,0,0.5773768424987793
242,1,1,1,0.5933347940444946
243,1,0,0,0.7507402896881104
244,0,0,1,0.9640771746635437
245,0,0,1,0.9947724938392639
246,1,1,1,0.9333832263946533
247,0,0,1,0.7354403138160706
248,1,1,1,0.654391348361969
