sample_id,actual,prediction,correct,confidence
0,1,1,1,0.9846903681755066
1,0,0,1,0.98736572265625
2,1,1,1,0.6461380124092102
3,1,1,1,0.9540175795555115
4,1,1,1,0.7644955515861511
5,0,0,1,0.965260922908783
6,1,1,1,0.9864276051521301
7,0,1,0,0.516098141670227
8,0,0,1,0.7258461713790894
9,1,1,1,0.9471190571784973
10,0,0,1,0.9965388178825378
11,0,0,1,0.9732580184936523
12,0,0,1,0.9995605945587158
13,1,1,1,0.991154670715332
14,0,0,1,0.8161231875419617
15,0,0,1,0.8593723773956299
16,1,1,1,0.7166251540184021
17,0,0,1,0.9878910183906555
18,1,1,1,0.989207923412323
19,1,1,1,0.8188225030899048
20,0,0,1,0.8613697290420532
21,1,1,1,0.9990888833999634
22,0,0,1,0.9437214732170105
23,1,1,1,0.9981561303138733
24,0,0,1,0.9919523000717163
25,1,1,1,0.8052682876586914
26,0,0,1,0.9935094714164734
27,0,0,1,0.8257005214691162
28,1,1,1,0.966265082359314
29,1,1,1,0.9732146263122559
30,1,0,0,0.7670503258705139
31,1,1,1,0.9919881820678711
32,1,1,1,0.9988299012184143
33,0,0,1,0.9876182079315186
34,0,0,1,0.8739414215087891
35,1,1,1,0.9074816703796387
36,0,0,1,0.9976394176483154
37,1,1,1,0.9121196866035461
38,1,1,1,0.9991299510002136
39,1,1,1,0.9910414814949036
40,1,1,1,0.9956855773925781
41,1,1,1,0.6628420352935791
42,0,0,1,0.9830564856529236
43,0,1,0,0.811927080154419
44,0,0,1,0.7941626310348511
45,0,0,1,0.994091808795929
46,0,1,0,0.7464598417282104
47,0,0,1,0.8577232360839844
48,1,0,0,0.5585222244262695
49,1,1,1,0.9785681366920471
50,0,0,1,0.9865878224372864
51,0,1,0,0.7382888793945312
52,0,0,1,0.9965463876724243
53,1,0,0,0.6140232682228088
54,1,1,1,0.9912384152412415
55,0,0,1,0.9230843782424927
56,1,1,1,0.9359988570213318
57,0,0,1,0.9623493552207947
58,0,0,1,0.6430526971817017
59,1,1,1,0.9165735840797424
60,0,0,1,0.965157151222229
61,0,1,0,0.5511911511421204
62,0,0,1,0.999889075756073
63,1,1,1,0.5566150546073914
64,1,1,1,0.9480078816413879
65,1,0,0,0.693345308303833
66,1,0,0,0.5111613273620605
67,0,1,0,0.720719575881958
68,0,0,1,0.8534942865371704
69,0,1,0,0.5305019021034241
70,1,1,1,0.8827521204948425
71,1,1,1,0.9992726445198059
72,0,0,1,0.9173186421394348
73,1,0,0,0.9019312262535095
74,0,0,1,0.9670753479003906
75,0,0,1,0.9791846871376038
76,1,1,1,0.9930900931358337
77,1,1,1,0.9912881255149841
78,1,1,1,0.9714827537536621
79,0,0,1,0.8579418659210205
80,1,0,0,0.7263242602348328
81,0,0,1,0.9960846304893494
82,0,0,1,0.999055802822113
83,0,0,1,0.9957697987556458
84,1,1,1,0.9992757439613342
85,0,1,0,0.8080589175224304
86,1,1,1,0.9667580723762512
87,1,1,1,0.9975130558013916
88,1,1,1,0.9781186580657959
89,1,1,1,0.9994083642959595
90,1,0,0,0.5354071259498596
91,0,0,1,0.9976187348365784
92,1,1,1,0.9656209349632263
93,1,1,1,0.9191471338272095
94,0,1,0,0.5560228824615479
95,1,1,1,0.5572324395179749
96,0,1,0,0.5599316358566284
97,0,0,1,0.9510793685913086
98,1,1,1,0.9652454257011414
99,0,0,1,0.9724196791648865
100,1,1,1,0.7384765148162842
101,1,1,1,0.879365086555481
102,1,1,1,0.9974411725997925
103,0,0,1,0.9858039617538452
104,0,0,1,0.9647297263145447
105,1,1,1,0.9357285499572754
106,0,0,1,0.9976335167884827
107,0,0,1,0.5816624760627747
108,0,0,1,0.6671425104141235
109,1,1,1,0.9931348562240601
110,1,1,1,0.9443114995956421
111,1,1,1,0.9964280724525452
112,1,1,1,0.8172569274902344
113,0,1,0,0.6887738704681396
114,1,1,1,0.8813551664352417
115,0,0,1,0.9986478090286255
116,1,0,0,0.7962362170219421
117,0,1,0,0.8443305492401123
118,1,1,1,0.907187819480896
119,1,1,1,0.7290933728218079
120,0,0,1,0.9255098104476929
121,0,0,1,0.9271210432052612
122,1,1,1,0.913573682308197
123,1,1,1,0.7494804859161377
124,1,1,1,0.9384346008300781
125,0,0,1,0.9916653037071228
126,0,0,1,0.9722360372543335
127,1,0,0,0.6459876298904419
128,0,0,1,0.9857293367385864
129,1,1,1,0.9685085415840149
130,0,0,1,0.9222885966300964
131,0,0,1,0.9355871677398682
132,1,1,1,0.957159698009491
133,0,0,1,0.6147797107696533
134,0,1,0,0.6955331563949585
135,0,0,1,0.9954515099525452
136,0,0,1,0.9962522983551025
137,0,0,1,0.7045740485191345
138,0,0,1,0.7064356803894043
139,1,1,1,0.8819668292999268
140,1,1,1,0.9854045510292053
141,0,0,1,0.6529847979545593
142,0,0,1,0.994414746761322
143,0,0,1,0.9995497465133667
144,0,0,1,0.9576651453971863
145,0,0,1,0.6791186928749084
146,0,0,1,0.596924901008606
147,0,0,1,0.5004190802574158
148,0,0,1,0.9991706013679504
149,0,1,0,0.590757429599762
150,1,1,1,0.990256667137146
151,0,0,1,0.929951012134552
152,0,0,1,0.71714186668396
153,0,0,1,0.9915385246276855
154,0,0,1,0.8878152370452881
155,1,1,1,0.9987279772758484
156,0,0,1,0.925828218460083
157,0,0,1,0.9925577640533447
158,0,0,1,0.945527970790863
159,1,1,1,0.8025224208831787
160,0,1,0,0.5394459366798401
161,1,1,1,0.9899396300315857
162,0,0,1,0.7493120431900024
163,1,0,0,0.6760565042495728
164,1,1,1,0.9903139472007751
165,1,1,1,0.9969756603240967
166,0,0,1,0.9385753273963928
167,0,1,0,0.5181534290313721
168,0,0,1,0.5177234411239624
169,1,1,1,0.856760561466217
170,1,1,1,0.9537010788917542
171,1,1,1,0.9010218381881714
172,1,0,0,0.7057679891586304
173,0,1,0,0.9442799091339111
174,0,0,1,0.9881513714790344
175,1,0,0,0.5169023275375366
176,0,0,1,0.7488701343536377
177,1,1,1,0.9979530572891235
178,1,1,1,0.6982365846633911
179,1,1,1,0.9004988670349121
