sample_id,actual,prediction,correct,confidence
0,1,1,1,0.8061615824699402
1,0,0,1,0.7575048208236694
2,0,0,1,0.9991846680641174
3,0,0,1,0.9984368085861206
4,1,1,1,0.984650731086731
5,1,1,1,0.8580171465873718
6,0,0,1,0.999883234500885
7,1,1,1,0.9486422538757324
8,1,1,1,0.9601514339447021
9,1,1,1,0.9962218999862671
10,1,1,1,0.9083000421524048
11,0,0,1,0.9732376933097839
12,1,1,1,0.9983434677124023
13,0,0,1,0.9097394347190857
14,1,1,1,0.8841580748558044
15,1,1,1,0.9997606873512268
16,0,0,1,0.9987320899963379
17,0,0,1,0.9654616713523865
18,1,0,0,0.6984886527061462
19,0,0,1,0.8604753017425537
20,0,0,1,0.5053415298461914
21,0,0,1,0.7589782476425171
22,1,1,1,0.8559662699699402
23,1,1,1,0.9989913105964661
24,1,1,1,0.9999464750289917
25,1,1,1,0.7896150946617126
26,1,1,1,0.9916511178016663
27,1,1,1,0.9865148663520813
28,1,1,1,0.9930732846260071
29,0,0,1,0.9807974100112915
30,0,0,1,0.9811026453971863
31,0,0,1,0.9926931262016296
32,1,0,0,0.5486255884170532
33,1,1,1,0.9690743684768677
34,1,0,0,0.7250242233276367
35,0,0,1,0.9857432842254639
36,0,0,1,0.9909669756889343
37,1,1,1,0.9997835755348206
38,1,1,1,0.9998416900634766
39,1,1,1,0.9999840259552002
40,1,1,1,0.7536742091178894
41,0,0,1,0.9999778866767883
42,0,0,1,0.9029793739318848
43,1,1,1,0.6295828819274902
44,1,1,1,0.9999886751174927
45,0,0,1,0.9867681860923767
46,0,0,1,0.9668322205543518
47,1,1,1,0.9088878631591797
48,1,1,1,0.9842166900634766
49,0,0,1,0.9981611967086792
50,1,1,1,0.8983299732208252
51,1,1,1,0.9972959160804749
52,0,0,1,0.9849343299865723
53,0,0,1,0.9452069997787476
54,0,0,1,0.9999836683273315
55,1,1,1,0.9530459046363831
56,0,1,0,0.5563323497772217
57,1,1,1,0.9998677968978882
58,0,0,1,0.7123727202415466
59,0,0,1,0.9996240139007568
60,1,1,1,0.9999617338180542
61,0,0,1,0.9251453280448914
62,0,0,1,0.9633875489234924
63,0,0,1,0.952133059501648
64,0,0,1,0.5134662985801697
65,1,1,1,0.9966362714767456
66,1,1,1,0.9910906553268433
67,1,1,1,0.5927650928497314
68,1,1,1,0.9999865293502808
69,0,0,1,0.9865797162055969
70,0,0,1,0.966115415096283
71,0,1,0,0.7887422442436218
72,1,1,1,0.9785707592964172
73,0,0,1,0.9976556897163391
74,0,0,1,0.6115942001342773
75,0,1,0,0.801243245601654
76,0,0,1,0.9923859238624573
77,0,0,1,0.9938743710517883
