sample_id,actual,prediction,correct,confidence
0,0,0,1,0.5640440001691618
1,0,0,1,0.5579030438799361
2,1,1,1,0.5376064976335541
3,1,0,0,0.5140523018059057
4,1,0,0,0.5273496767983046
5,0,1,0,0.5102178367287054
6,1,1,1,0.5220920496304057
7,1,0,0,0.5125986853981758
8,1,1,1,0.5273363780229801
9,0,0,1,0.552352561344361
10,0,0,1,0.5588604839119546
11,1,0,0,0.5270663932405536
12,0,0,1,0.5375585499211777
13,0,0,1,0.5648007175931615
14,1,0,0,0.5737877003377095
15,0,0,1,0.5725528206587147
16,0,0,1,0.5857162284016881
17,1,0,0,0.5412243515710973
18,0,0,1,0.5772790679642256
19,1,0,0,0.5067736000024845
20,1,1,1,0.5553166273776018
21,0,0,1,0.5098132432348199
22,0,0,1,0.5649460191542355
23,0,0,1,0.5778773799879209
24,1,0,0,0.535404350346975
25,0,0,1,0.5830109368119116
26,1,1,1,0.5220229347704369
27,0,0,1,0.5542675596355432
28,0,0,1,0.5699697188284297
29,0,1,0,0.5012551993945027
30,0,0,1,0.585938534557997
31,0,0,1,0.5812849556524948
32,1,1,1,0.5647681004705174
33,1,1,1,0.5090174818892227
34,0,0,1,0.5261750623695511
35,0,0,1,0.5205808030494138
36,0,0,1,0.5596694290196915
37,1,0,0,0.5377520624746409
38,1,1,1,0.5561708381504911
39,0,0,1,0.5507769944990779
40,0,0,1,0.6070450521078535
41,0,0,1,0.5054882205503275
42,1,1,1,0.5771303474077442
43,1,1,1,0.5800426419767005
44,0,0,1,0.5253618358866655
45,0,1,0,0.569791442376687
46,1,1,1,0.5491187921444365
47,0,0,1,0.5450781372124356
48,1,1,1,0.5010838824418653
49,0,0,1,0.6153045168582858
50,1,0,0,0.523575008259966
51,0,0,1,0.5816331678567328
52,0,1,0,0.5192720256913733
53,1,1,1,0.573454785249927
54,1,0,0,0.5287189897318606
55,1,0,0,0.5122547328950302
56,0,0,1,0.5053695377983058
57,0,1,0,0.5245004095985407
58,0,0,1,0.563835621282155
59,1,0,0,0.5083303143746691
60,1,1,1,0.5221344392372418
61,0,0,1,0.5284943848939316
62,1,1,1,0.5134874161509215
63,0,0,1,0.5296299937588267
64,0,1,0,0.5368223363626312
65,0,0,1,0.5337639729692445
66,1,1,1,0.5059419589737549
67,1,1,1,0.5338245866730548
68,0,1,0,0.5236326112133716
69,0,0,1,0.5969105557787231
70,0,0,1,0.567638605900367
71,0,1,0,0.5244173646754878
72,1,1,1,0.5245970685953122
73,0,0,1,0.5015154484595474
74,0,0,1,0.5077906802345648
75,0,0,1,0.5603505173924297
76,1,0,0,0.5057648262260325
77,1,1,1,0.6075745786073202
78,1,1,1,0.5067988165937048
79,1,1,1,0.5506463695427728
80,0,0,1,0.6110079779416683
81,0,0,1,0.5787944075651114
82,1,1,1,0.5807144051190302
83,1,0,0,0.5156159893384045
84,1,0,0,0.5422526098775811
85,0,0,1,0.5668298535313321
86,0,0,1,0.5685833517231907
87,0,0,1,0.5236847761295593
88,1,1,1,0.5886452533719009
89,0,1,0,0.5171197166904381
90,0,0,1,0.5398605399927734
91,1,1,1,0.576939458440377
92,1,1,1,0.6075548089119862
93,0,1,0,0.517891759423891
94,1,1,1,0.529000598484945
95,1,1,1,0.5364711503865266
