sample_id,actual,prediction,correct,confidence
0,1,1,1,0.9974820017814636
1,1,1,1,0.7626674175262451
2,1,1,1,0.983893632888794
3,1,1,1,0.997312605381012
4,0,0,1,0.9999997615814209
5,1,1,1,0.999968409538269
6,1,1,1,0.9994194507598877
7,1,1,1,0.9999862909317017
8,1,1,1,0.9999995231628418
9,1,1,1,0.9999921321868896
10,1,1,1,0.9932851791381836
11,0,0,1,0.999840497970581
12,0,0,1,0.999824583530426
13,1,1,1,0.9917600750923157
14,1,1,1,0.9997474551200867
15,1,1,1,0.9610557556152344
16,1,1,1,0.9242550134658813
17,0,0,1,0.9998849034309387
18,0,0,1,0.9999309778213501
19,1,0,0,0.5083925724029541
20,0,0,1,0.9956990480422974
21,0,0,1,0.9634640216827393
22,0,0,1,0.9992606043815613
23,1,1,1,0.9999994039535522
24,1,1,1,0.9999921321868896
25,1,1,1,1.0
26,1,1,1,0.9994252920150757
27,0,0,1,0.9851235747337341
28,0,0,1,0.999998152256012
29,1,1,1,0.7214690446853638
30,0,0,1,0.9999998211860657
31,1,1,1,0.7117550373077393
32,0,0,1,0.8705873489379883
33,0,0,1,0.9981571435928345
34,1,1,1,0.9992685914039612
35,1,0,0,0.711085855960846
36,1,1,1,0.8470097780227661
37,1,1,1,0.9997687935829163
38,1,1,1,0.9880079030990601
39,1,1,1,0.9999998807907104
40,1,1,1,0.9580559730529785
41,0,0,1,0.988408625125885
42,0,0,1,0.999995768070221
43,0,0,1,0.9999411106109619
44,1,1,1,0.827081561088562
45,1,1,1,0.9999666213989258
46,1,1,1,0.9966678023338318
47,0,0,1,0.999967634677887
48,1,1,1,0.9997454285621643
49,1,1,1,0.9881637692451477
50,1,1,1,0.9245384335517883
51,0,0,1,0.9289836883544922
52,0,0,1,0.9241056442260742
53,0,0,1,1.0
54,1,1,1,0.9816951751708984
55,0,0,1,0.9999898672103882
56,1,1,1,0.9887732863426208
57,0,0,1,0.9999998807907104
58,0,0,1,0.9598484635353088
59,1,1,1,0.9953193068504333
60,0,1,0,0.7144526243209839
61,1,1,1,0.9999743700027466
62,0,0,1,0.5109401941299438
63,1,1,1,0.9998958110809326
64,1,1,1,0.9999899864196777
65,0,0,1,0.9999810457229614
66,1,1,1,0.9455903172492981
67,1,1,1,0.5754846334457397
68,1,1,1,0.9999961853027344
69,0,0,1,0.9997321367263794
70,1,1,1,0.6425268054008484
71,1,1,1,0.9999983310699463
72,1,1,1,0.9998157620429993
73,0,0,1,0.9999629259109497
74,1,1,1,0.9999731779098511
75,0,0,1,0.9849392175674438
76,1,1,1,0.9990078806877136
