sample_id,actual,prediction,correct,confidence
0,0,0,1,0.7204070709288474
1,0,0,1,0.6788543239279042
2,1,1,1,0.6572401312981334
3,0,0,1,0.5576225669445041
4,0,0,1,0.6782904461339128
5,0,0,1,0.5855577311725515
6,1,1,1,0.6625538637013495
7,1,0,0,0.5752371486596446
8,0,0,1,0.6924783391143257
9,0,1,0,0.6776029156559201
10,0,0,1,0.6049422849349274
11,0,0,1,0.5882211777752737
12,1,1,1,0.6919975637575883
13,0,0,1,0.5193820128930497
14,0,0,1,0.6278994273473808
15,0,0,1,0.7103733195503859
16,1,1,1,0.6124989548240564
17,0,0,1,0.5706045052127796
18,0,0,1,0.5456962493592891
19,1,1,1,0.7334277353842887
20,1,1,1,0.7009446692830108
21,1,0,0,0.5573415931926458
22,1,1,1,0.7585787695482546
23,1,1,1,0.7656682968726682
24,0,0,1,0.6853338733549093
25,0,0,1,0.7032261577887979
26,1,1,1,0.7140878921240043
27,0,1,0,0.5630667950452702
28,0,0,1,0.6809695634398134
29,1,0,0,0.5296102675019532
30,0,0,1,0.5182210354732367
31,0,0,1,0.508556105008619
32,1,1,1,0.6926996643955633
33,0,0,1,0.727727103709894
34,1,0,0,0.5316488936268484
35,0,0,1,0.5121251836595043
36,1,0,0,0.5149413221193396
37,0,0,1,0.6922069961685873
38,1,1,1,0.7233391546930339
39,1,0,0,0.5750738447606497
40,0,1,0,0.6553004055512953
41,0,0,1,0.7457861839584425
42,0,1,0,0.5146220553350281
43,0,0,1,0.6280099123126133
44,0,0,1,0.5037311878541799
45,1,1,1,0.6905672023067961
46,0,0,1,0.5132701427150725
47,1,1,1,0.7545133274662902
48,0,0,1,0.5851652351210929
49,1,1,1,0.6288532146949428
50,0,0,1,0.5620981724678715
51,1,1,1,0.6551403474449249
52,0,0,1,0.7380315458879871
53,0,1,0,0.5814900832207687
54,1,1,1,0.5998173579424241
55,1,1,1,0.7657039301852538
56,1,1,1,0.762437069725145
57,1,1,1,0.7317406946837723
58,1,1,1,0.5377637635292116
59,0,0,1,0.5213272772617747
60,0,0,1,0.5281606676127395
61,0,1,0,0.5949816230956702
62,0,0,1,0.534490032538028
63,0,0,1,0.6854081312700852
64,0,0,1,0.7167116884902849
65,0,0,1,0.5680049320182842
66,0,1,0,0.723054572105707
67,0,0,1,0.5608210711401032
68,0,0,1,0.6072163428528777
69,0,1,0,0.7624017232563706
70,1,1,1,0.7072819542189296
71,1,1,1,0.7053347054551845
72,1,1,1,0.7671446084503123
73,1,1,1,0.5646965848844954
74,0,1,0,0.6149068630759716
75,1,1,1,0.6970792597484522
76,0,0,1,0.6076532218131614
77,0,0,1,0.6437068799420512
78,1,1,1,0.7531000377664955
79,1,1,1,0.7648932291216354
80,1,1,1,0.6855465834311998
81,1,1,1,0.7624017232563706
82,0,1,0,0.7532818229426146
83,1,1,1,0.5177399860200521
84,1,0,0,0.5967088717844505
85,0,0,1,0.6267872716375885
86,0,0,1,0.6981189131512593
87,1,1,1,0.6154060491610337
88,0,0,1,0.5797826106817343
89,0,0,1,0.7357301783397667
90,0,0,1,0.5320765673642212
91,0,1,0,0.5240488957585612
92,1,0,0,0.5345358384977403
93,1,1,1,0.5979439699448126
94,0,0,1,0.6629406131681561
95,1,1,1,0.7142680940862318
96,1,1,1,0.6468646276731002
97,0,1,0,0.5435912542256279
98,0,0,1,0.7231994827338659
99,1,0,0,0.6469997262096764
100,0,1,0,0.5482818414723706
101,0,0,1,0.7037920329759402
102,0,0,1,0.6819112348597192
103,0,0,1,0.7063923763902562
104,1,0,0,0.6751582332341198
105,1,1,1,0.501216475149723
106,1,1,1,0.7289503919209439
107,0,0,1,0.6014580652996908
108,1,1,1,0.6153763958058549
109,1,1,1,0.7565892170232253
110,0,0,1,0.6145191845045341
111,0,0,1,0.6603523895077025
112,1,1,1,0.620649763035104
113,1,1,1,0.7339572851616747
114,0,0,1,0.6473106016590882
115,0,0,1,0.6080984280473108
116,1,1,1,0.6640165917660622
117,1,0,0,0.6202335848891813
118,1,1,1,0.7277215201034715
119,1,1,1,0.6800831624362259
120,0,0,1,0.6714466440564248
121,1,0,0,0.7001801138962789
122,0,0,1,0.6906432249535963
123,0,0,1,0.732411779138377
124,0,0,1,0.7479009637806788
125,1,1,1,0.6211428051328204
126,0,0,1,0.7357067868538674
127,1,1,1,0.6275228110810769
128,0,0,1,0.7492523816428083
129,1,1,1,0.6958342325619911
130,0,1,0,0.5755494731364582
131,1,1,1,0.6707771961916449
132,0,1,0,0.6136599252175767
133,1,1,1,0.5894373512079628
134,0,0,1,0.5471439980549306
135,1,1,1,0.6560651898593071
136,0,0,1,0.7122845761827552
137,0,0,1,0.6606871214102642
138,1,1,1,0.6912446457722663
139,1,1,1,0.7005936817795184
140,0,0,1,0.5052022653399928
141,0,0,1,0.6660294766499848
142,0,0,1,0.6686146942891942
143,0,1,0,0.5860839389304804
144,1,1,1,0.5295622912418108
145,0,0,1,0.7352708420643482
146,1,1,1,0.681732583209887
147,1,1,1,0.7657039301852538
148,1,1,1,0.7656118756087021
149,0,0,1,0.5766252275314181
150,1,1,1,0.7576137236881004
151,0,0,1,0.6759268314273723
152,1,1,1,0.7217582410835146
153,0,1,0,0.6932309295624012
154,1,1,1,0.7551685613637065
155,1,1,1,0.7648932291216354
156,1,1,1,0.7623657435853014
157,1,1,1,0.5576013955123326
158,0,0,1,0.528026546633877
159,1,0,0,0.5318222971246822
160,1,1,1,0.6384676744848414
161,0,1,0,0.6178560794468247
162,0,0,1,0.5909749100287023
163,0,1,0,0.5030733426486796
164,0,0,1,0.7462293289607589
165,1,1,1,0.6411023020840715
166,1,1,1,0.7508870775401681
167,0,1,0,0.6214546595901052
168,1,1,1,0.726480949444518
169,1,1,1,0.6569179460924108
170,0,0,1,0.6702092678984164
171,0,0,1,0.744226515677777
172,0,1,0,0.5524481704979854
173,1,1,1,0.6390715618817348
174,1,1,1,0.6935391208930074
175,1,1,1,0.6922293621214388
176,1,1,1,0.6152823314137068
177,0,0,1,0.5786184459928525
178,0,0,1,0.5217157758568531
179,1,1,1,0.6696015815742493
180,1,1,1,0.6165696134635525
181,0,0,1,0.6295303524927133
182,0,0,1,0.6940723912762587
183,0,0,1,0.736040495631211
184,1,1,1,0.5415995923476764
185,0,1,0,0.5854885374270631
186,0,1,0,0.6023015987118516
187,0,0,1,0.7106631162266286
188,1,1,1,0.6861504132758315
189,1,1,1,0.5914885331940786
190,1,1,1,0.7569508021247359
191,1,1,1,0.7153821435750419
192,0,0,1,0.7345558999298523
193,1,1,1,0.7052415114493561
194,0,1,0,0.5975275533902621
195,0,0,1,0.535190493989609
196,1,1,1,0.7435236015114713
197,0,0,1,0.7068532854737528
198,1,0,0,0.6436026935959951
199,0,0,1,0.7171939988267557
200,1,1,1,0.7247433823705407
201,0,1,0,0.587559412295699
202,0,0,1,0.6494995555175997
203,1,1,1,0.5505495961774699
204,1,1,1,0.7273323576907738
205,1,1,1,0.7509688610728071
206,1,1,1,0.5493114064809489
207,0,0,1,0.6754441461949264
208,0,0,1,0.6436895513638365
209,0,0,1,0.614798887475293
210,0,0,1,0.6802607495734061
211,1,1,1,0.7032716072595874
212,0,1,0,0.529470651645228
213,0,0,1,0.5811657146786863
214,0,1,0,0.5137480117503317
215,1,1,1,0.7308777988189568
216,1,1,1,0.6923808090172652
217,1,1,1,0.7657039301852538
218,0,0,1,0.6277996771059374
219,0,0,1,0.7484468505651625
220,0,1,0,0.6967717549559976
221,1,1,1,0.7615831537954536
222,1,1,1,0.6167356248381854
223,1,1,1,0.7521127847852955
224,0,0,1,0.7135497233672197
225,1,1,1,0.6616830545555058
226,1,1,1,0.757522468650614
227,1,1,1,0.5662737484247635
228,0,1,0,0.5446339320753206
229,1,1,1,0.7190209404025992
230,0,0,1,0.6852930235188178
231,1,1,1,0.7575405112068813
232,0,1,0,0.5616248305294781
233,0,0,1,0.7028225569880266
234,0,1,0,0.6039285231872074
235,0,0,1,0.5470122510981643
236,1,1,1,0.6698694220396852
237,1,1,1,0.6736412630456022
238,1,1,1,0.7576137236881004
239,0,1,0,0.5878741169559469
240,1,1,1,0.7647953038040896
241,1,1,1,0.7429343042005979
242,0,0,1,0.7178836437825129
243,1,0,0,0.5629541984987437
244,0,0,1,0.6229556423236899
245,0,0,1,0.6906296279301006
246,1,1,1,0.7624017232563706
247,1,0,0,0.6388216545304606
248,0,0,1,0.671503031730998
249,0,0,1,0.7023284464318331
250,1,1,1,0.6560523612453387
251,0,1,0,0.6165344117549647
252,0,0,1,0.6640057598406388
253,1,1,1,0.5950036414918811
254,1,1,1,0.7277987174001277
255,1,1,1,0.5805582484507233
256,1,1,1,0.6584790797599499
257,1,1,1,0.5165442316290308
258,1,1,1,0.5367803973314036
259,0,0,1,0.6338594541802851
260,0,0,1,0.5203629077615957
261,0,0,1,0.6362920710234987
262,1,1,1,0.704487971728724
263,1,1,1,0.6705950673733678
264,0,1,0,0.6476850837135101
265,1,1,1,0.6034235599196233
266,0,0,1,0.5207430562707179
267,1,1,1,0.5281537344095941
268,1,1,1,0.6446812315396205
269,1,1,1,0.6454907649559827
270,0,0,1,0.7046270861160313
271,0,0,1,0.6044858185051942
272,0,1,0,0.5334577295604392
273,0,0,1,0.539883734287379
274,1,0,0,0.5160261815955736
275,0,0,1,0.7005134198722163
276,1,1,1,0.6564162769306425
277,1,1,1,0.6803557860772892
278,1,1,1,0.7516221646227009
279,0,0,1,0.7135246807590644
280,0,0,1,0.6519474023413291
281,0,0,1,0.5821740799276875
282,0,0,1,0.5736837477535179
283,1,1,1,0.7141910841202475
284,0,1,0,0.730706147053596
285,1,0,0,0.6689358775840462
286,1,1,1,0.7428737001157039
287,1,1,1,0.7555965085540558
288,0,0,1,0.688552371940323
289,1,1,1,0.678107310005559
290,1,1,1,0.6648536185384352
