sample_id,actual,prediction,correct,confidence
0,0,0,1,0.9926683902740479
1,0,0,1,0.9095321297645569
2,0,0,1,0.9953540563583374
3,0,0,1,0.9651662111282349
4,0,0,1,0.8100548386573792
5,1,0,0,0.6181236505508423
6,1,0,0,0.7688292264938354
7,0,1,0,0.8844914436340332
8,1,1,1,0.8489912152290344
9,1,0,0,0.8137343525886536
10,0,0,1,0.9537420272827148
11,1,1,1,0.9912427663803101
12,1,1,1,0.5162675380706787
13,1,1,1,0.7237396240234375
14,0,0,1,0.5628242492675781
15,0,0,1,0.9683628082275391
16,1,1,1,0.9974378347396851
17,1,1,1,0.6367475390434265
18,0,0,1,0.7183475494384766
19,1,1,1,0.9831337332725525
20,0,0,1,0.8974493145942688
21,0,0,1,0.9936926960945129
22,1,0,0,0.5468246936798096
23,0,0,1,0.8200756311416626
24,1,1,1,0.9964984655380249
25,1,1,1,0.9995660185813904
26,1,1,1,0.8212964534759521
27,1,1,1,0.6713719367980957
28,0,0,1,0.9348606467247009
29,1,1,1,0.9619138240814209
30,1,1,1,0.9460912346839905
31,0,0,1,0.8840376734733582
32,0,0,1,0.9703770279884338
33,0,0,1,0.8306137323379517
34,0,0,1,0.9822430610656738
35,1,1,1,0.8703076243400574
36,1,1,1,0.7641003727912903
37,1,1,1,0.862409234046936
38,1,1,1,0.9973733425140381
39,0,1,0,0.7855560779571533
40,1,1,1,0.8469365835189819
41,0,0,1,0.8055499196052551
42,1,1,1,0.8276469111442566
43,0,0,1,0.8388034105300903
44,0,0,1,0.7471104860305786
45,1,1,1,0.9897226095199585
46,0,0,1,0.8208706974983215
47,0,0,1,0.8813142776489258
48,1,1,1,0.9029192328453064
49,0,0,1,0.9997301697731018
50,1,1,1,0.930321216583252
51,1,1,1,0.7769332528114319
52,1,1,1,0.529944658279419
53,0,0,1,0.7203038930892944
54,1,0,0,0.5688424110412598
55,0,0,1,0.9165329337120056
56,0,0,1,0.9674572348594666
57,1,1,1,0.6462216377258301
58,0,0,1,0.9898242950439453
59,0,0,1,0.9878807067871094
60,0,0,1,0.9638838171958923
61,0,0,1,0.97946697473526
62,1,0,0,0.5895375609397888
63,0,0,1,0.6008275747299194
64,0,1,0,0.6134414076805115
65,0,0,1,0.9957042336463928
66,1,1,1,0.9888662695884705
67,1,1,1,0.9069386124610901
68,0,0,1,0.9960157871246338
69,1,1,1,0.9631707072257996
70,0,0,1,0.958730936050415
71,1,1,1,0.9974824786186218
72,1,1,1,0.9817641377449036
73,0,0,1,0.8513035774230957
74,1,1,1,0.5892224311828613
75,1,0,0,0.6680378317832947
76,1,1,1,0.6048310995101929
77,0,0,1,0.8595424294471741
78,0,0,1,0.7078224420547485
79,1,0,0,0.6955098509788513
80,1,0,0,0.6071956157684326
81,1,1,1,0.9949755668640137
82,1,1,1,0.9069243669509888
83,0,0,1,0.973027765750885
84,1,1,1,0.8841132521629333
85,1,1,1,0.7053400278091431
86,0,0,1,0.9140262007713318
87,0,0,1,0.6221249103546143
88,1,1,1,0.7882536053657532
89,1,1,1,0.9262461066246033
90,0,1,0,0.5003330707550049
91,0,0,1,0.6332946419715881
92,1,1,1,0.8576468825340271
93,0,0,1,0.815526008605957
94,0,0,1,0.9797869324684143
95,0,0,1,0.5737341642379761
96,0,0,1,0.9959094524383545
97,1,1,1,0.862974226474762
98,0,0,1,0.8395795226097107
99,0,0,1,0.9154757857322693
100,0,0,1,0.9996399283409119
101,0,0,1,0.976290762424469
102,1,1,1,0.8495047688484192
103,1,1,1,0.9080663323402405
104,0,0,1,0.9600277543067932
105,1,1,1,0.9597513675689697
106,0,0,1,0.9705997705459595
107,0,0,1,0.9863064289093018
108,0,0,1,0.9887945055961609
109,1,1,1,0.5912899971008301
110,0,0,1,0.7812942862510681
111,0,0,1,0.9053317308425903
112,0,0,1,0.9115771651268005
113,1,1,1,0.9127225279808044
114,0,0,1,0.5392519235610962
115,0,0,1,0.853009819984436
116,1,1,1,0.9680012464523315
117,1,1,1,0.9926124811172485
118,0,1,0,0.6188774704933167
119,1,0,0,0.7412360310554504
120,0,0,1,0.9564155340194702
121,1,1,1,0.9989545345306396
122,1,0,0,0.7539103627204895
123,0,0,1,0.8590274453163147
124,1,0,0,0.931508481502533
125,0,0,1,0.8594034314155579
126,1,1,1,0.8941250443458557
127,1,1,1,0.8092279434204102
128,0,0,1,0.9750643968582153
129,1,1,1,0.5578030943870544
130,1,1,1,0.9899880290031433
131,1,1,1,0.8976325988769531
132,1,1,1,0.7569540143013
133,1,0,0,0.5516904592514038
134,0,0,1,0.9574657678604126
135,1,1,1,0.8955522179603577
136,1,0,0,0.9545727968215942
137,1,0,0,0.7038315534591675
138,0,0,1,0.9594007134437561
139,1,0,0,0.6958827972412109
140,0,0,1,0.9624727368354797
141,1,1,1,0.6294412016868591
142,0,0,1,0.9572538137435913
143,1,1,1,0.9581214189529419
144,0,0,1,0.5355163812637329
145,1,1,1,0.9963674545288086
146,1,1,1,0.9787625670433044
147,1,1,1,0.9152393341064453
148,1,1,1,0.9872045516967773
149,1,1,1,0.7044715881347656
150,1,1,1,0.9545536637306213
151,1,0,0,0.552250325679779
152,0,0,1,0.9857444763183594
153,0,0,1,0.9929555654525757
154,0,0,1,0.9955124855041504
155,1,0,0,0.5839773416519165
156,0,0,1,0.9535335898399353
157,0,1,0,0.6737375855445862
158,0,0,1,0.9730076193809509
159,1,1,1,0.9906285405158997
160,0,0,1,0.9227349758148193
161,0,0,1,0.9992308020591736
162,1,1,1,0.6769603490829468
163,1,1,1,0.9366347193717957
164,1,1,1,0.9965182542800903
165,0,0,1,0.7513511180877686
166,0,0,1,0.9192129373550415
167,1,1,1,0.8574668169021606
168,0,0,1,0.949118435382843
169,0,1,0,0.5803878307342529
170,1,1,1,0.9424258470535278
171,0,0,1,0.6815453767776489
172,1,1,1,0.9635538458824158
173,1,1,1,0.9993104934692383
174,1,1,1,0.9331791996955872
175,1,0,0,0.5585167407989502
176,1,1,1,0.9821444749832153
177,0,0,1,0.891761064529419
178,0,0,1,0.6909440755844116
179,0,0,1,0.8973168134689331
180,0,1,0,0.8783736228942871
181,0,0,1,0.9963952302932739
182,0,1,0,0.6253550052642822
183,0,0,1,0.9685156941413879
184,1,1,1,0.8656995892524719
185,0,1,0,0.9066189527511597
186,1,1,1,0.8953813910484314
187,1,1,1,0.890039324760437
188,1,1,1,0.6284584403038025
189,0,0,1,0.9070349335670471
190,1,1,1,0.699787437915802
191,1,1,1,0.5164825916290283
192,0,1,0,0.5807973146438599
193,0,0,1,0.9863890409469604
194,0,0,1,0.9257706999778748
195,1,1,1,0.9778496026992798
196,1,1,1,0.7908892035484314
197,1,1,1,0.8486371636390686
198,0,0,1,0.9317969083786011
199,0,1,0,0.5445719957351685
200,1,1,1,0.9995760321617126
201,1,1,1,0.7178616523742676
202,0,0,1,0.999696671962738
203,1,1,1,0.9686480164527893
204,1,1,1,0.8679298758506775
205,0,0,1,0.9951941967010498
206,0,0,1,0.9612746834754944
207,1,1,1,0.8402138948440552
208,0,0,1,0.9488075971603394
209,0,0,1,0.9575062394142151
210,0,0,1,0.8808127641677856
211,0,0,1,0.9387446045875549
212,1,1,1,0.994971513748169
213,0,0,1,0.9432135820388794
214,1,1,1,0.8736098408699036
215,1,1,1,0.6657872796058655
216,1,1,1,0.9915174841880798
217,1,1,1,0.997378945350647
218,1,1,1,0.9948082566261292
219,1,1,1,0.8446476459503174
220,0,1,0,0.663497269153595
221,0,0,1,0.9062697291374207
222,1,1,1,0.995685338973999
223,1,1,1,0.9906265735626221
224,1,1,1,0.9935575127601624
225,1,1,1,0.9866205453872681
